Claim_ID,Return_Description,Text_Length,Urgency_Level,Customer_Type,Previous_Return_Count,Claim_Amount,Payment_Method,Image_Provided,Fraud_Label
1,Wrong product received,32,High,Frequent,3,454.19,Credit Card,Yes,Fraud
2,Item arrived damaged,35,Low,Returning,3,1015.66,Credit Card,Yes,Fraud
3,Changed my mind,249,High,Frequent,0,1520.03,Debit Card,No,Fraud
4,Size does not fit,99,Low,Frequent,1,194.56,Credit Card,No,Fraud
5,Package was empty,155,Low,VIP,8,258.4,Net Banking,Yes,Fraud
6,Package was empty,205,High,Returning,1,101.19,Debit Card,No,Legitimate
7,Changed my mind,71,Medium,Frequent,7,1275.01,UPI,Yes,Fraud
8,Defective after one use,127,High,Frequent,10,1299.59,Cash on Delivery,Yes,Legitimate
9,Product not as described,256,Medium,Frequent,10,1379.44,Debit Card,No,Legitimate
10,Changed my mind,36,Medium,VIP,4,141.72,Cash on Delivery,No,Legitimate
11,Missing parts,222,High,VIP,2,537.11,Debit Card,No,Fraud
12,Package was empty,224,Medium,Returning,2,1023.96,Credit Card,Yes,Legitimate
13,Product not as described,101,High,VIP,9,136.42,Net Banking,No,Fraud
14,Fake product received,25,High,New,10,1770.73,UPI,No,Legitimate
15,Size does not fit,242,Low,VIP,0,1908.09,UPI,Yes,Legitimate
16,Size does not fit,279,High,Returning,2,754.09,Debit Card,Yes,Fraud
17,Missing parts,29,Low,Frequent,4,486.51,Debit Card,Yes,Legitimate
18,Missing parts,55,High,Returning,2,1322.9,Cash on Delivery,Yes,Fraud
19,Fake product received,236,Low,Returning,4,803.99,UPI,No,Fraud
20,Wrong product received,146,Low,New,5,51.86,Cash on Delivery,Yes,Legitimate
21,Item arrived damaged,56,High,New,3,144.13,Credit Card,No,Legitimate
22,Fake product received,141,Medium,VIP,3,1083.08,Cash on Delivery,No,Legitimate
23,Missing parts,228,Low,New,1,1321.38,UPI,No,Fraud
24,Missing parts,47,High,New,0,811.22,UPI,Yes,Legitimate
25,Changed my mind,117,High,VIP,2,849.54,UPI,No,Legitimate
26,Wrong product received,246,High,New,0,1307.77,Cash on Delivery,Yes,Legitimate
27,Changed my mind,105,Medium,VIP,7,435.36,Net Banking,Yes,Legitimate
28,Color mismatch,21,Medium,Frequent,7,577.65,Cash on Delivery,No,Legitimate
29,Changed my mind,171,Low,New,9,1474.12,Credit Card,No,Legitimate
30,Item arrived damaged,264,High,Returning,0,1921.95,Credit Card,Yes,Legitimate
31,Package was empty,54,High,Returning,6,248.57,Cash on Delivery,Yes,Legitimate
32,Package was empty,61,Medium,Frequent,4,416.48,UPI,Yes,Fraud
33,Color mismatch,87,High,Frequent,7,639.19,Credit Card,Yes,Fraud
34,Package was empty,71,Low,Returning,8,537.75,UPI,Yes,Legitimate
35,Defective after one use,165,Low,VIP,8,1410.04,Cash on Delivery,Yes,Fraud
36,Wrong product received,88,Medium,New,1,1487.41,Debit Card,No,Fraud
37,Package was empty,127,High,Frequent,3,1378.12,UPI,No,Fraud
38,Item arrived damaged,67,High,VIP,4,97.73,UPI,Yes,Fraud
39,Product not as described,246,High,VIP,8,29.24,Credit Card,Yes,Legitimate
40,Defective after one use,95,Medium,Returning,0,623.43,Credit Card,No,Legitimate
41,Changed my mind,72,Medium,VIP,9,1501.46,Debit Card,Yes,Legitimate
42,Color mismatch,32,Low,Frequent,6,1606.45,Debit Card,No,Legitimate
43,Wrong product received,215,Low,VIP,3,407.15,Net Banking,No,Fraud
44,Changed my mind,134,Low,Returning,6,663.24,Credit Card,No,Fraud
45,Fake product received,224,High,Frequent,0,239.53,UPI,Yes,Fraud
46,Item arrived damaged,75,High,VIP,5,1459.8,UPI,No,Legitimate
47,Color mismatch,117,Medium,New,6,13.37,Cash on Delivery,Yes,Fraud
48,Color mismatch,55,High,Frequent,9,634.69,Credit Card,No,Fraud
49,Color mismatch,187,Medium,Frequent,8,263.3,Net Banking,No,Legitimate
50,Package was empty,174,Medium,New,4,580.96,Net Banking,No,Fraud
51,Missing parts,246,High,Returning,8,951.64,Debit Card,Yes,Fraud
52,Fake product received,191,Low,Returning,10,627.73,Debit Card,Yes,Legitimate
53,Item arrived damaged,145,Medium,New,7,834.74,Cash on Delivery,Yes,Fraud
54,Missing parts,224,Low,Returning,10,1378.37,Credit Card,No,Legitimate
55,Product not as described,285,Medium,New,8,505.9,Credit Card,No,Legitimate
56,Missing parts,291,High,Frequent,7,1229.18,Cash on Delivery,No,Fraud
57,Product not as described,263,Medium,Frequent,3,1681.33,UPI,No,Legitimate
58,Size does not fit,245,Low,Frequent,3,550.71,UPI,Yes,Legitimate
59,Product not as described,138,Medium,Returning,3,137.82,Net Banking,No,Fraud
60,Color mismatch,51,Low,VIP,6,1810.63,Cash on Delivery,Yes,Fraud
61,Missing parts,23,Medium,Frequent,6,1708.36,Net Banking,Yes,Fraud
62,Changed my mind,159,Medium,VIP,0,783.83,Net Banking,Yes,Fraud
63,Product not as described,293,Low,VIP,9,1133.14,Credit Card,Yes,Fraud
64,Product not as described,256,Low,New,4,764.42,Debit Card,No,Fraud
65,Defective after one use,214,Medium,VIP,4,1671.47,Net Banking,Yes,Legitimate
66,Defective after one use,134,High,New,10,90.11,Credit Card,Yes,Legitimate
67,Item arrived damaged,98,Low,Returning,7,1342.22,Cash on Delivery,Yes,Fraud
68,Size does not fit,208,Low,New,2,1929.79,Credit Card,Yes,Fraud
69,Package was empty,212,Medium,Returning,1,1188.27,Debit Card,Yes,Fraud
70,Package was empty,81,High,New,5,1070.16,UPI,Yes,Fraud
71,Item arrived damaged,235,Medium,New,6,1921.97,Net Banking,Yes,Fraud
72,Product not as described,287,High,Frequent,9,1618.32,Cash on Delivery,No,Fraud
73,Color mismatch,157,Medium,Returning,1,565.07,Net Banking,Yes,Fraud
74,Package was empty,214,Medium,New,7,1703.4,Debit Card,No,Legitimate
75,Defective after one use,152,Medium,Frequent,9,1405.36,UPI,Yes,Legitimate
76,Wrong product received,143,High,VIP,7,1114.8,Debit Card,No,Fraud
77,Missing parts,28,Low,Frequent,3,814.76,Debit Card,No,Fraud
78,Missing parts,291,Medium,VIP,8,668.27,Net Banking,No,Fraud
79,Size does not fit,138,Low,Returning,5,247.91,Cash on Delivery,Yes,Legitimate
80,Changed my mind,267,Medium,Frequent,1,1666.93,UPI,Yes,Fraud
81,Product not as described,174,Low,Returning,4,100.58,Credit Card,No,Legitimate
82,Missing parts,72,Low,Frequent,7,962.64,UPI,Yes,Legitimate
83,Size does not fit,264,Low,New,6,988.58,Cash on Delivery,Yes,Legitimate
84,Product not as described,175,Low,Returning,1,1120.57,Net Banking,Yes,Fraud
85,Missing parts,246,Medium,VIP,4,1141.57,Credit Card,Yes,Legitimate
86,Changed my mind,155,High,New,2,487.33,Cash on Delivery,Yes,Legitimate
87,Item arrived damaged,229,Medium,VIP,4,74.95,UPI,No,Fraud
88,Wrong product received,139,Medium,Returning,6,238.4,Debit Card,Yes,Fraud
89,Product not as described,56,Low,Returning,4,1194.14,Cash on Delivery,No,Fraud
90,Wrong product received,259,High,Frequent,6,1885.93,Cash on Delivery,No,Fraud
91,Wrong product received,40,Medium,Frequent,9,508.23,Credit Card,Yes,Legitimate
92,Size does not fit,40,Low,VIP,8,1306.5,UPI,Yes,Fraud
93,Missing parts,66,Medium,Frequent,6,673.28,Credit Card,Yes,Fraud
94,Color mismatch,273,Medium,VIP,8,83.03,Credit Card,No,Fraud
95,Defective after one use,79,Medium,New,10,1740.04,Net Banking,No,Legitimate
