Claim_ID,Return_Description,Text_Length,Urgency_Level,Customer_Type,Previous_Return_Count,Claim_Amount,Payment_Method,Image_Provided,Fraud_Label,Return_Description_Clean,Description_Length,Description_Word_Count,Fraud_Keyword_Count,Urgency_Score
1,Wrong product received,32,High,Frequent,3,454.19,Credit Card,Yes,Fraud,Wrong product received,22,3,0,3
2,Item arrived damaged,35,Low,Returning,3,1015.66,Credit Card,Yes,Fraud,Item arrived damaged,20,3,0,1
3,Changed my mind,249,High,Frequent,0,1520.03,Debit Card,No,Fraud,Changed my mind,15,3,0,3
4,Size does not fit,99,Low,Frequent,1,194.56,Credit Card,No,Fraud,Size does not fit,17,4,0,1
5,Package was empty,155,Low,VIP,8,258.4,Net Banking,Yes,Fraud,Package was empty,17,3,0,1
6,Package was empty,205,High,Returning,1,101.19,Debit Card,No,Legitimate,Package was empty,17,3,0,3
7,Changed my mind,71,Medium,Frequent,7,1275.01,UPI,Yes,Fraud,Changed my mind,15,3,0,2
8,Defective after one use,127,High,Frequent,10,1299.59,Cash on Delivery,Yes,Legitimate,Defective after one use,23,4,0,3
9,Product not as described,256,Medium,Frequent,10,1379.44,Debit Card,No,Legitimate,Product not as described,24,4,0,2
10,Changed my mind,36,Medium,VIP,4,141.72,Cash on Delivery,No,Legitimate,Changed my mind,15,3,0,2
11,Missing parts,222,High,VIP,2,537.11,Debit Card,No,Fraud,Missing parts,13,2,0,3
12,Package was empty,224,Medium,Returning,2,1023.96,Credit Card,Yes,Legitimate,Package was empty,17,3,0,2
13,Product not as described,101,High,VIP,9,136.42,Net Banking,No,Fraud,Product not as described,24,4,0,3
14,Fake product received,25,High,New,10,1770.73,UPI,No,Legitimate,Fake product received,21,3,1,3
15,Size does not fit,242,Low,VIP,0,1908.09,UPI,Yes,Legitimate,Size does not fit,17,4,0,1
16,Size does not fit,279,High,Returning,2,754.09,Debit Card,Yes,Fraud,Size does not fit,17,4,0,3
17,Missing parts,29,Low,Frequent,4,486.51,Debit Card,Yes,Legitimate,Missing parts,13,2,0,1
18,Missing parts,55,High,Returning,2,1322.9,Cash on Delivery,Yes,Fraud,Missing parts,13,2,0,3
19,Fake product received,236,Low,Returning,4,803.99,UPI,No,Fraud,Fake product received,21,3,1,1
20,Wrong product received,146,Low,New,5,51.86,Cash on Delivery,Yes,Legitimate,Wrong product received,22,3,0,1
21,Item arrived damaged,56,High,New,3,144.13,Credit Card,No,Legitimate,Item arrived damaged,20,3,0,3
22,Fake product received,141,Medium,VIP,3,1083.08,Cash on Delivery,No,Legitimate,Fake product received,21,3,1,2
23,Missing parts,228,Low,New,1,1321.38,UPI,No,Fraud,Missing parts,13,2,0,1
24,Missing parts,47,High,New,0,811.22,UPI,Yes,Legitimate,Missing parts,13,2,0,3
25,Changed my mind,117,High,VIP,2,849.54,UPI,No,Legitimate,Changed my mind,15,3,0,3
26,Wrong product received,246,High,New,0,1307.77,Cash on Delivery,Yes,Legitimate,Wrong product received,22,3,0,3
27,Changed my mind,105,Medium,VIP,7,435.36,Net Banking,Yes,Legitimate,Changed my mind,15,3,0,2
28,Color mismatch,21,Medium,Frequent,7,577.65,Cash on Delivery,No,Legitimate,Color mismatch,14,2,0,2
29,Changed my mind,171,Low,New,9,1474.12,Credit Card,No,Legitimate,Changed my mind,15,3,0,1
30,Item arrived damaged,264,High,Returning,0,1921.95,Credit Card,Yes,Legitimate,Item arrived damaged,20,3,0,3
31,Package was empty,54,High,Returning,6,248.57,Cash on Delivery,Yes,Legitimate,Package was empty,17,3,0,3
32,Package was empty,61,Medium,Frequent,4,416.48,UPI,Yes,Fraud,Package was empty,17,3,0,2
33,Color mismatch,87,High,Frequent,7,639.19,Credit Card,Yes,Fraud,Color mismatch,14,2,0,3
34,Package was empty,71,Low,Returning,8,537.75,UPI,Yes,Legitimate,Package was empty,17,3,0,1
35,Defective after one use,165,Low,VIP,8,1410.04,Cash on Delivery,Yes,Fraud,Defective after one use,23,4,0,1
36,Wrong product received,88,Medium,New,1,1487.41,Debit Card,No,Fraud,Wrong product received,22,3,0,2
37,Package was empty,127,High,Frequent,3,1378.12,UPI,No,Fraud,Package was empty,17,3,0,3
38,Item arrived damaged,67,High,VIP,4,97.73,UPI,Yes,Fraud,Item arrived damaged,20,3,0,3
39,Product not as described,246,High,VIP,8,29.24,Credit Card,Yes,Legitimate,Product not as described,24,4,0,3
